"","gene_id","gene_symbol"
"15638","ENSG00000184058.15","TBX1"
"15639","ENSG00000184060.11","ADAP2"
"15640","ENSG00000184068.2","SREBF2-AS1"
"15641","ENSG00000184076.13","UQCR10"
"15642","ENSG00000184083.12","FAM120C"
"15643","ENSG00000184084.7","CTD-2372A4.1"
"15644","ENSG00000184100.6","BRD7P2"
"15645","ENSG00000184106.8","TREML3P"
"15646","ENSG00000184108.8","TRIML1"
"15647","ENSG00000184110.15","EIF3C"
"15648","ENSG00000184111.6","RPL11P4"
"15649","ENSG00000184113.10","CLDN5"
"15650","ENSG00000184115.17","RP13-1039J1.2"
"15651","ENSG00000184117.12","NIPSNAP1"
"15652","ENSG00000184139.8","RPL7AP28"
"15653","ENSG00000184140.6","OR4F6"
"15654","ENSG00000184144.12","CNTN2"
"15655","ENSG00000184148.4","SPRR4"
"15656","ENSG00000184154.15","LRTOMT"
"15657","ENSG00000184155.8","OR10J5"
"15658","ENSG00000184156.17","KCNQ3"
"15659","ENSG00000184160.8","ADRA2C"
"15660","ENSG00000184162.15","NR2C2AP"
"15661","ENSG00000184163.3","C1QTNF12"
"15662","ENSG00000184164.15","CRELD2"
"15663","ENSG00000184166.3","OR1D2"
"15664","ENSG00000184178.16","SCFD2"
"15665","ENSG00000184182.19","UBE2F"
"15666","ENSG00000184185.10","KCNJ12"
"15667","ENSG00000184188.6","CTC-512J14.7"
"15668","ENSG00000184194.6","GPR173"
"15669","ENSG00000184203.8","PPP1R2"
"15670","ENSG00000184205.14","TSPYL2"
"15671","ENSG00000184206.12","GOLGA6L4"
"15672","ENSG00000184207.9","PGP"
"15673","ENSG00000184208.12","C22orf46"
"15674","ENSG00000184209.15","SNRNP35"
"15675","ENSG00000184210.6","DGAT2L6"
"15676","ENSG00000184216.14","IRAK1"
"15677","ENSG00000184220.12","CMSS1"
"15678","ENSG00000184221.13","OLIG1"
"15679","ENSG00000184224.3","C11orf72"
"15680","ENSG00000184226.15","PCDH9"
"15681","ENSG00000184227.8","ACOT1"
"15682","ENSG00000184232.9","OAF"
"15683","ENSG00000184254.17","ALDH1A3"
"15684","ENSG00000184260.6","H2AC20"
"15685","ENSG00000184261.5","KCNK12"
"15686","ENSG00000184270.6","H2AC21"
"15687","ENSG00000184271.17","POU6F1"
"15688","ENSG00000184274.3","LINC00315"
"15689","ENSG00000184276.3","DEFB108B"
"15690","ENSG00000184277.13","TM2D3"
"15691","ENSG00000184281.15","TSSC4"
"15692","ENSG00000184292.7","TACSTD2"
"15693","ENSG00000184293.7","CLECL1"
"15694","ENSG00000184302.7","SIX6"
"15695","ENSG00000184303.5","DRD5P1"
"15696","ENSG00000184304.16","PRKD1"
"15697","ENSG00000184305.15","CCSER1"
"15698","ENSG00000184307.17","ZDHHC23"
"15699","ENSG00000184313.20","MROH7"
"15700","ENSG00000184319.16","RPL23AP82"
"15701","ENSG00000184321.1","OR51J1"
"15702","ENSG00000184330.12","S100A7A"
"15703","ENSG00000184343.11","SRPK3"
"15704","ENSG00000184344.4","GDF3"
"15705","ENSG00000184345.5","IQCF2"
"15706","ENSG00000184347.15","SLIT3"
"15707","ENSG00000184349.14","EFNA5"
"15708","ENSG00000184350.11","MRGPRE"
"15709","ENSG00000184351.8","KRTAP19-1"
"15710","ENSG00000184357.5","H1-5"
"15711","ENSG00000184361.13","SPATA32"
"15712","ENSG00000184363.10","PKP3"
"15713","ENSG00000184368.16","MAP7D2"
"15714","ENSG00000184371.14","CSF1"
"15715","ENSG00000184374.3","COLEC10"
"15716","ENSG00000184378.3","ACTRT3"
"15717","ENSG00000184381.20","PLA2G6"
"15718","ENSG00000184384.14","MAML2"
"15719","ENSG00000184385.2","UMODL1-AS1"
"15720","ENSG00000184388.6","PABPC1L2B"
"15721","ENSG00000184389.9","A3GALT2"
"15722","ENSG00000184394.3","OR4N5"
"15723","ENSG00000184402.15","SS18L1"
"15724","ENSG00000184408.10","KCND2"
"15725","ENSG00000184414.2","IRS3P"
"15726","ENSG00000184423.5","RPL23AP38"
"15727","ENSG00000184428.13","TOP1MT"
"15728","ENSG00000184432.11","COPB2"
"15729","ENSG00000184434.8","LRRC19"
"15730","ENSG00000184436.12","THAP7"
"15731","ENSG00000184441.4","AP001062.7"
"15732","ENSG00000184445.12","KNTC1"
"15733","ENSG00000184451.5","CCR10"
"15734","ENSG00000184454.7","NCMAP"
"15735","ENSG00000184459.9","BPIFC"
"15736","ENSG00000184465.16","WDR27"
"15737","ENSG00000184470.21","TXNRD2"
"15738","ENSG00000184471.8","C1QTNF8"
"15739","ENSG00000184478.8","OR56A3"
"15740","ENSG00000184481.17","FOXO4"
"15741","ENSG00000184486.10","POU3F2"
"15742","ENSG00000184489.13","PTP4A3"
"15743","ENSG00000184492.6","FOXD4L1"
"15744","ENSG00000184497.13","TMEM255B"
"15745","ENSG00000184500.16","PROS1"
"15746","ENSG00000184502.4","GAST"
"15747","ENSG00000184507.16","NUTM1"
"15748","ENSG00000184508.12","HDDC3"
"15749","ENSG00000184515.11","BEX5"
"15750","ENSG00000184517.12","ZFP1"
"15751","ENSG00000184523.4","PTGER4P2"
"15752","ENSG00000184524.6","CEND1"
"15753","ENSG00000184530.9","C6orf58"
"15754","ENSG00000184544.12","DHRS7C"
"15755","ENSG00000184545.11","DUSP8"
"15756","ENSG00000184557.4","SOCS3"
"15757","ENSG00000184560.8","SPEM2"
"15758","ENSG00000184564.11","SLITRK6"
"15759","ENSG00000184566.3","RP13-786C16.1"
"15760","ENSG00000184571.13","PIWIL3"
"15761","ENSG00000184574.10","LPAR5"
"15762","ENSG00000184575.12","XPOT"
"15763","ENSG00000184584.13","STING1"
"15764","ENSG00000184588.18","PDE4B"
"15765","ENSG00000184599.14","TAFA3"
"15766","ENSG00000184601.11","C14orf180"
"15767","ENSG00000184602.6","SNN"
"15768","ENSG00000184608.9","FAM167A-AS1"
"15769","ENSG00000184611.12","KCNH7"
"15770","ENSG00000184612.8","RPL7P26"
"15771","ENSG00000184613.11","NELL2"
"15772","ENSG00000184616.9","SPDYE12P"
"15773","ENSG00000184617.10","ZNF840P"
"15774","ENSG00000184619.8","KRBA2"
"15775","ENSG00000184624.4","ZNF72P"
"15776","ENSG00000184634.16","MED12"
"15777","ENSG00000184635.16","ZNF93"
"15778","ENSG00000184640.20","SEPTIN9"
"15779","ENSG00000184647.11","PRSS55"
"15780","ENSG00000184650.11","ODF4"
"15781","ENSG00000184659.5","FOXD4L4"
"15782","ENSG00000184661.14","CDCA2"
"15783","ENSG00000184669.9","OR7E14P"
"15784","ENSG00000184672.12","RALYL"
"15785","ENSG00000184675.11","AMER1"
"15786","ENSG00000184677.18","ZBTB40"
"15787","ENSG00000184678.10","H2BC21"
"15788","ENSG00000184697.7","CLDN6"
"15789","ENSG00000184698.5","OR51M1"
"15790","ENSG00000184702.20","SEPTIN5"
"15791","ENSG00000184708.18","EIF4ENIF1"
"15792","ENSG00000184709.7","LRRC26"
"15793","ENSG00000184716.14","SERINC4"
"15794","ENSG00000184719.12","RNLS"
"15795","ENSG00000184724.5","KRTAP6-1"
"15796","ENSG00000184730.11","APOBR"
"15797","ENSG00000184731.6","FAM110C"
"15798","ENSG00000184735.7","DDX53"
"15799","ENSG00000184741.6","OR5AQ1P"
"15800","ENSG00000184743.13","ATL3"
"15801","ENSG00000184752.14","NDUFA12"
"15802","ENSG00000184761.8","PRSS40B"
"15803","ENSG00000184774.10","MGAT4EP"
"15804","ENSG00000184785.6","SMIM10"
"15805","ENSG00000184786.6","DYNLT2"
"15806","ENSG00000184787.19","UBE2G2"
"15807","ENSG00000184788.14","SATL1"
"15808","ENSG00000184789.6","OR4C10P"
"15809","ENSG00000184792.16","OSBP2"
"15810","ENSG00000184795.9","UNC93B5"
"15811","ENSG00000184809.13","B3GALT5-AS1"
"15812","ENSG00000184811.4","TRARG1"
"15813","ENSG00000184814.5","PRR23B"
"15814","ENSG00000184828.10","ZBTB7C"
"15815","ENSG00000184831.14","APOO"
"15816","ENSG00000184838.15","PRR16"
"15817","ENSG00000184840.12","TMED9"
"15818","ENSG00000184844.6","CYCSP45"
"15819","ENSG00000184845.4","DRD1"
"15820","ENSG00000184856.7","LINC00308"
"15821","ENSG00000184857.8","TMEM186"
"15822","ENSG00000184860.10","SDR42E1"
"15823","ENSG00000184863.11","RBM33"
"15824","ENSG00000184867.14","ARMCX2"
"15825","ENSG00000184887.14","BTBD6"
"15826","ENSG00000184895.8","SRY"
"15827","ENSG00000184897.6","H1-10"
"15828","ENSG00000184898.7","RBM43"
"15829","ENSG00000184900.16","SUMO3"
"15830","ENSG00000184903.10","IMMP2L"
"15831","ENSG00000184905.9","TCEAL2"
"15832","ENSG00000184906.11","AC129778.2"
"15833","ENSG00000184908.19","CLCNKB"
"15834","ENSG00000184911.15","DMRTC1B"
"15835","ENSG00000184916.9","JAG2"
"15836","ENSG00000184922.14","FMNL1"
"15837","ENSG00000184923.12","NUTM2A"
"15838","ENSG00000184924.6","PTRHD1"
"15839","ENSG00000184925.12","LCN12"
"15840","ENSG00000184933.6","OR6A2"
"15841","ENSG00000184937.16","WT1"
"15842","ENSG00000184939.16","ZFP90"
"15843","ENSG00000184945.14","AQP12A"
"15844","ENSG00000184949.18","FAM227A"
"15845","ENSG00000184954.4","OR6C70"
"15846","ENSG00000184956.16","MUC6"
"15847","ENSG00000184961.5","RPL7AP49"
"15848","ENSG00000184967.7","NOC4L"
"15849","ENSG00000184979.10","USP18"
"15850","ENSG00000184983.11","NDUFA6"
"15851","ENSG00000184984.10","CHRM5"
"15852","ENSG00000184985.16","SORCS2"
"15853","ENSG00000184986.11","TMEM121"
"15854","ENSG00000184988.8","TMEM106A"
"15855","ENSG00000184990.13","SIVA1"
"15856","ENSG00000184991.3","TTTY13"
"15857","ENSG00000184992.13","BRI3BP"
"15858","ENSG00000184995.7","IFNE"
"15859","ENSG00000184999.13","SLC22A10"
"15860","ENSG00000185000.12","DGAT1"
"15861","ENSG00000185002.10","RFX6"
"15862","ENSG00000185008.17","ROBO2"
"15863","ENSG00000185009.13","AP3M1"
"15864","ENSG00000185010.15","F8"
"15865","ENSG00000185013.16","NT5C1B"
"15866","ENSG00000185015.8","CA13"
"15867","ENSG00000185019.17","UBOX5"
"15868","ENSG00000185022.12","MAFF"
"15869","ENSG00000185024.17","BRF1"
"15870","ENSG00000185028.4","LRRC14B"
"15871","ENSG00000185031.6","SLC2A3P2"
"15872","ENSG00000185033.14","SEMA4B"
"15873","ENSG00000185037.9","ZNF733P"
"15874","ENSG00000185038.14","MROH2A"
"15875","ENSG00000185040.13","SPDYE16"
"15876","ENSG00000185043.12","CIB1"
"15877","ENSG00000185046.19","ANKS1B"
"15878","ENSG00000185049.16","NELFA"
"15879","ENSG00000185052.13","SLC24A3"
"15880","ENSG00000185053.14","SGCZ"
"15881","ENSG00000185055.11","EFCAB10"
"15882","ENSG00000185056.10","C5orf47"
"15883","ENSG00000185065.6","AC000068.5"
"15884","ENSG00000185069.2","KRT76"
"15885","ENSG00000185070.12","FLRT2"
"15886","ENSG00000185074.7","OR7E31P"
"15887","ENSG00000185078.3","RPL9P14"
"15888","ENSG00000185085.2","INTS5"
"15889","ENSG00000185088.14","RPS27L"
"15890","ENSG00000185090.15","MANEAL"
"15891","ENSG00000185100.11","ADSS1"
"15892","ENSG00000185101.13","ANO9"
"15893","ENSG00000185104.20","FAF1"
"15894","ENSG00000185105.5","MYADML2"
"15895","ENSG00000185112.6","FAM43A"
"15896","ENSG00000185115.6","NSMCE3"
"15897","ENSG00000185122.11","HSF1"
"15898","ENSG00000185127.6","C6orf120"
"15899","ENSG00000185129.8","PURA"
"15900","ENSG00000185130.5","H2BC13"
"15901","ENSG00000185133.14","INPP5J"
"15902","ENSG00000185149.6","NPY2R"
"15903","ENSG00000185155.12","MIXL1"
"15904","ENSG00000185156.6","MFSD6L"
"15905","ENSG00000185158.12","LRRC37B"
"15906","ENSG00000185163.10","DDX51"
"15907","ENSG00000185164.15","NOMO2"
"15908","ENSG00000185168.5","LINC00482"
"15909","ENSG00000185176.13","AQP12B"
"15910","ENSG00000185177.14","ZNF479"
"15911","ENSG00000185182.14","GOLGA8EP"
"15912","ENSG00000185186.10","LINC00313"
"15913","ENSG00000185187.13","SIGIRR"
"15914","ENSG00000185189.18","NRBP2"
"15915","ENSG00000185198.12","PRSS57"
"15916","ENSG00000185201.17","IFITM2"
"15917","ENSG00000185203.12","WASIR1"
"15918","ENSG00000185203.12_PAR_Y","WASIR1"
"15919","ENSG00000185215.11","TNFAIP2"
"15920","ENSG00000185219.17","ZNF445"
"15921","ENSG00000185220.12","PGBD2"
"15922","ENSG00000185221.6","GAPDHP24"
"15923","ENSG00000185222.10","TCEAL9"
"15924","ENSG00000185231.5","MC2R"
"15925","ENSG00000185236.12","RAB11B"
"15926","ENSG00000185238.13","PRMT3"
"15927","ENSG00000185245.8","GP1BA"
"15928","ENSG00000185246.18","PRPF39"
"15929","ENSG00000185247.15","MAGEA11"
"15930","ENSG00000185250.16","PPIL6"
"15931","ENSG00000185252.19","ZNF74"
"15932","ENSG00000185261.15","KIAA0825"
"15933","ENSG00000185262.9","UBALD2"
"15934","ENSG00000185264.12","TEX33"
"15935","ENSG00000185267.10","CDNF"
"15936","ENSG00000185269.12","NOTUM"
"15937","ENSG00000185271.9","KLHL33"
"15938","ENSG00000185272.14","RBM11"
"15939","ENSG00000185274.12","GALNT17"
"15940","ENSG00000185275.6","CD24P4"
"15941","ENSG00000185278.15","ZBTB37"
"15942","ENSG00000185290.4","NUPR2"
"15943","ENSG00000185291.12","IL3RA"
"15944","ENSG00000185291.12_PAR_Y","IL3RA"
"15945","ENSG00000185294.7","SPPL2C"
"15946","ENSG00000185296.8","CTD-2139B15.1"
"15947","ENSG00000185298.13","CCDC137"
"15948","ENSG00000185303.17","SFTPA2"
"15949","ENSG00000185304.15","RGPD2"
"15950","ENSG00000185305.11","ARL15"
"15951","ENSG00000185306.13","C12orf56"
"15952","ENSG00000185313.9","SCN10A"
"15953","ENSG00000185319.5","SSXP4"
"15954","ENSG00000185324.22","CDK10"
"15955","ENSG00000185332.8","TMEM105"
"15956","ENSG00000185338.7","SOCS1"
"15957","ENSG00000185339.9","TCN2"
"15958","ENSG00000185340.15","GAS2L1"
"15959","ENSG00000185344.15","ATP6V0A2"
"15960","ENSG00000185345.23","PRKN"
"15961","ENSG00000185347.18","TEDC1"
"15962","ENSG00000185352.9","HS6ST3"
"15963","ENSG00000185359.14","HGS"
"15964","ENSG00000185361.9","TNFAIP8L1"
"15965","ENSG00000185372.4","OR2V1"
"15966","ENSG00000185379.21","RAD51D"
"15967","ENSG00000185385.5","OR7A17"
"15968","ENSG00000185386.15","MAPK11"
"15969","ENSG00000185390.2","FGF7P2"
"15970","ENSG00000185404.17","SP140L"
"15971","ENSG00000185414.20","MRPL30"
"15972","ENSG00000185418.16","TARS3"
"15973","ENSG00000185420.19","SMYD3"
"15974","ENSG00000185432.12","METTL7A"
"15975","ENSG00000185433.10","LINC00158"
"15976","ENSG00000185436.12","IFNLR1"
"15977","ENSG00000185437.15","SH3BGR"
"15978","ENSG00000185442.13","FAM174B"
"15979","ENSG00000185448.11","FAM47A"
"15980","ENSG00000185453.13","ZSWIM9"
"15981","ENSG00000185467.8","KPNA7"
"15982","ENSG00000185475.11","TMEM179B"
"15983","ENSG00000185477.5","GPRIN3"
"15984","ENSG00000185479.6","KRT6B"
"15985","ENSG00000185480.12","PARPBP"
"15986","ENSG00000185482.8","STAC3"
"15987","ENSG00000185483.12","ROR1"
"15988","ENSG00000185485.14","SDHAP1"
"15989","ENSG00000185495.10","SEPTIN7P13"
"15990","ENSG00000185499.16","MUC1"
"15991","ENSG00000185504.17","FAAP100"
"15992","ENSG00000185507.21","IRF7"
"15993","ENSG00000185513.17","L3MBTL1"
"15994","ENSG00000185515.15","BRCC3"
"15995","ENSG00000185518.12","SV2B"
"15996","ENSG00000185519.9","FAM131C"
"15997","ENSG00000185522.9","LMNTD2"
"15998","ENSG00000185523.6","SPATA45"
"15999","ENSG00000185527.12","PDE6G"
"16000","ENSG00000185532.20","PRKG1"
"16001","ENSG00000185551.15","NR2F2"
"16002","ENSG00000185559.16","DLK1"
"16003","ENSG00000185561.10","TLCD2"
"16004","ENSG00000185565.12","LSAMP"
"16005","ENSG00000185567.7","AHNAK2"
"16006","ENSG00000185585.20","OLFML2A"
"16007","ENSG00000185591.10","SP1"
"16008","ENSG00000185594.7","SPATA8"
"16009","ENSG00000185596.16","WASH3P"
"16010","ENSG00000185607.5","ACTBP7"
"16011","ENSG00000185608.9","MRPL40"
"16012","ENSG00000185610.6","DBX2"
"16013","ENSG00000185614.7","INKA1"
"16014","ENSG00000185615.16","PDIA2"
"16015","ENSG00000185619.18","PCGF3"
"16016","ENSG00000185621.11","LMLN"
"16017","ENSG00000185624.16","P4HB"
"16018","ENSG00000185627.18","PSMD13"
"16019","ENSG00000185630.19","PBX1"
"16020","ENSG00000185631.7","RPL14P6"
"16021","ENSG00000185633.10","NDUFA4L2"
"16022","ENSG00000185634.12","SHC4"
"16023","ENSG00000185638.9","FTH1P14"
"16024","ENSG00000185640.6","KRT79"
"16025","ENSG00000185641.6","CTD-2287O16.1"
"16026","ENSG00000185650.10","ZFP36L1"
"16027","ENSG00000185651.15","UBE2L3"
"16028","ENSG00000185652.12","NTF3"
"16029","ENSG00000185658.14","BRWD1"
"16030","ENSG00000185662.10","SMIM23"
"16031","ENSG00000185664.15","PMEL"
"16032","ENSG00000185666.15","SYN3"
"16033","ENSG00000185668.8","POU3F1"
"16034","ENSG00000185669.6","SNAI3"
"16035","ENSG00000185670.9","ZBTB3"
"16036","ENSG00000185674.9","LYG2"
"16037","ENSG00000185681.13","MORN5"
"16038","ENSG00000185684.15","EP400P1"
"16039","ENSG00000185686.18","PRAME"
"16040","ENSG00000185689.17","C6orf201"
"16041","ENSG00000185697.17","MYBL1"
"16042","ENSG00000185700.10","TTTY8B"
"16043","ENSG00000185701.7","OR5M5P"
"16044","ENSG00000185710.9","SMG1P4"
"16045","ENSG00000185716.12","MOSMO"
"16046","ENSG00000185721.13","DRG1"
"16047","ENSG00000185722.18","ANKFY1"
"16048","ENSG00000185728.17","YTHDF3"
"16049","ENSG00000185730.8","ZNF696"
"16050","ENSG00000185736.16","ADARB2"
"16051","ENSG00000185737.13","NRG3"
"16052","ENSG00000185739.13","SRL"
"16053","ENSG00000185742.7","C11orf87"
"16054","ENSG00000185745.10","IFIT1"
"16055","ENSG00000185753.13","CXorf38"
"16056","ENSG00000185758.9","CLDN24"
"16057","ENSG00000185760.17","KCNQ5"
"16058","ENSG00000185761.11","ADAMTSL5"
"16059","ENSG00000185774.16","KCNIP4"
"16060","ENSG00000185775.10","SPATA31A6"
"16061","ENSG00000185787.15","MORF4L1"
"16062","ENSG00000185792.10","NLRP9"
"16063","ENSG00000185798.8","WDR53"
"16064","ENSG00000185800.12","DMWD"
"16065","ENSG00000185803.12","SLC52A2"
"16066","ENSG00000185808.14","PIGP"
"16067","ENSG00000185811.19","IKZF1"
"16068","ENSG00000185813.11","PCYT2"
"16069","ENSG00000185818.8","NAT8L"
"16070","ENSG00000185821.3","OR6C76"
"16071","ENSG00000185823.5","NPAP1"
"16072","ENSG00000185825.17","BCAP31"
"16073","ENSG00000185829.18","ARL17A"
"16074","ENSG00000185834.10","RPL12P4"
"16075","ENSG00000185837.3","HDHD5-AS1"
"16076","ENSG00000185838.14","GNB1L"
"16077","ENSG00000185839.3","RP4-592A1.2"
"16078","ENSG00000185842.16","DNAH14"
"16079","ENSG00000185847.8","LINC01405"
"16080","ENSG00000185860.13","CCDC190"
"16081","ENSG00000185862.7","EVI2B"
"16082","ENSG00000185863.8","TMEM210"
"16083","ENSG00000185864.17","NPIPB4"
"16084","ENSG00000185869.15","ZNF829"
"16085","ENSG00000185873.8","TMPRSS11B"
"16086","ENSG00000185875.13","THNSL1"
"16087","ENSG00000185880.13","TRIM69"
"16088","ENSG00000185883.12","ATP6V0C"
"16089","ENSG00000185885.17","IFITM1"
"16090","ENSG00000185888.5","PRSS38"
"16091","ENSG00000185894.8","BPY2C"
"16092","ENSG00000185896.11","LAMP1"
"16093","ENSG00000185897.7","FFAR3"
"16094","ENSG00000185899.1","TAS2R60"
"16095","ENSG00000185900.11","POMK"
"16096","ENSG00000185903.10","OR11N1P"
"16097","ENSG00000185904.12","LINC00839"
"16098","ENSG00000185905.4","C16orf54"
"16099","ENSG00000185909.15","KLHDC8B"
"16100","ENSG00000185915.5","KLHL34"
"16101","ENSG00000185917.14","SETD4"
"16102","ENSG00000185920.17","PTCH1"
"16103","ENSG00000185924.7","RTN4RL1"
"16104","ENSG00000185926.1","OR4C46"
"16105","ENSG00000185933.7","CALHM1"
"16106","ENSG00000185940.10","KRTAP5-5"
"16107","ENSG00000185942.13","NKAIN3"
"16108","ENSG00000185946.16","RNPC3"
"16109","ENSG00000185947.15","ZNF267"
"16110","ENSG00000185950.9","IRS2"
"16111","ENSG00000185955.5","C7orf61"
"16112","ENSG00000185958.10","FAM186A"
"16113","ENSG00000185960.14","SHOX"
"16114","ENSG00000185960.14_PAR_Y","SHOX"
"16115","ENSG00000185962.1","LCE3A"
"16116","ENSG00000185963.14","BICD2"
"16117","ENSG00000185966.4","LCE3E"
"16118","ENSG00000185972.6","CCIN"
"16119","ENSG00000185973.12","TMLHE"
"16120","ENSG00000185974.7","GRK1"
"16121","ENSG00000185982.7","DEFB128"
"16122","ENSG00000185985.11","SLITRK2"
"16123","ENSG00000185986.12","SDHAP3"
"16124","ENSG00000185988.15","PLK5"
"16125","ENSG00000185989.11","RASA3"
"16126","ENSG00000186001.14","LRCH3"
"16127","ENSG00000186007.10","LEMD1"
"16128","ENSG00000186008.7","RPS4XP21"
"16129","ENSG00000186009.5","ATP4B"
"16130","ENSG00000186010.19","NDUFA13"
"16131","ENSG00000186017.15","ZNF566"
"16132","ENSG00000186019.11","AC084219.4"
"16133","ENSG00000186020.13","ZNF529"
"16134","ENSG00000186026.7","ZNF284"
"16135","ENSG00000186038.9","HTR3E"
"16136","ENSG00000186047.11","DLEU7"
"16137","ENSG00000186049.8","KRT73"
"16138","ENSG00000186051.7","TAL2"
"16139","ENSG00000186056.10","MATN1-AS1"
"16140","ENSG00000186063.13","AIDA"
"16141","ENSG00000186073.14","CDIN1"
"16142","ENSG00000186074.19","CD300LF"
"16143","ENSG00000186075.13","ZPBP2"
"16144","ENSG00000186076.5","RP11-887P2.3"
"16145","ENSG00000186081.12","KRT5"
"16146","ENSG00000186082.9","KRT18P14"
"16147","ENSG00000186086.18","NBPF6"
"16148","ENSG00000186088.16","GSAP"
"16149","ENSG00000186090.11","HTR3D"
"16150","ENSG00000186092.7","OR4F5"
"16151","ENSG00000186094.17","AGBL4"
"16152","ENSG00000186103.5","ARGFX"
"16153","ENSG00000186104.11","CYP2R1"
"16154","ENSG00000186105.8","LRRC70"
"16155","ENSG00000186106.11","ANKRD46"
"16156","ENSG00000186111.11","PIP5K1C"
"16157","ENSG00000186113.1","OR5D14"
"16158","ENSG00000186115.13","CYP4F2"
"16159","ENSG00000186118.9","TEX38"
"16160","ENSG00000186119.9","OR5D18"
"16161","ENSG00000186124.4","OR9M1P"
"16162","ENSG00000186130.5","ZBTB6"
"16163","ENSG00000186132.15","C2orf76"
"16164","ENSG00000186136.1","TAS2R42"
"16165","ENSG00000186141.9","POLR3C"
"16166","ENSG00000186143.11","PRR30"
"16167","ENSG00000186146.1","DEFB131A"
"16168","ENSG00000186148.13","AC013271.3"
"16169","ENSG00000186150.5","UBL4B"
"16170","ENSG00000186152.6","LILRP1"
"16171","ENSG00000186153.18","WWOX"
"16172","ENSG00000186160.5","CYP4Z1"
"16173","ENSG00000186162.10","CIDECP1"
"16174","ENSG00000186163.9","TRY2P"
"16175","ENSG00000186166.9","CENATAC"
"16176","ENSG00000186174.13","BCL9L"
"16177","ENSG00000186184.19","POLR1D"
"16178","ENSG00000186185.14","KIF18B"
"16179","ENSG00000186187.12","ZNRF1"
"16180","ENSG00000186188.11","FFAR4"
"16181","ENSG00000186190.7","BPIFB3"
"16182","ENSG00000186191.9","BPIFB4"
"16183","ENSG00000186193.9","SAPCD2"
"16184","ENSG00000186197.15","EDARADD"
"16185","ENSG00000186198.4","SLC51B"
"16186","ENSG00000186204.15","CYP4F12"
"16187","ENSG00000186205.13","MTARC1"
"16188","ENSG00000186207.5","LCE5A"
"16189","ENSG00000186212.4","SOWAHB"
"16190","ENSG00000186222.5","BLOC1S4"
"16191","ENSG00000186226.9","LCE1E"
"16192","ENSG00000186230.7","ZNF749"
"16193","ENSG00000186231.17","KLHL32"
"16194","ENSG00000186234.7","FAM86MP"
"16195","ENSG00000186235.11","LINC02610"
"16196","ENSG00000186244.7","RP11-1079K10.1"
"16197","ENSG00000186260.17","MRTFB"
"16198","ENSG00000186265.10","BTLA"
"16199","ENSG00000186268.4","OR10D4P"
"16200","ENSG00000186272.13","ZNF17"
"16201","ENSG00000186280.7","KDM4D"
"16202","ENSG00000186281.12","GPAT2"
"16203","ENSG00000186283.14","TOR3A"
"16204","ENSG00000186288.5","PABPC1L2A"
"16205","ENSG00000186297.12","GABRA5"
"16206","ENSG00000186298.12","PPP1CC"
"16207","ENSG00000186300.12","ZNF555"
"16208","ENSG00000186301.8","MST1P2"
"16209","ENSG00000186306.1","OR10T2"
"16210","ENSG00000186310.10","NAP1L3"
"16211","ENSG00000186312.10","CA5BP1"
"16212","ENSG00000186314.12","PRELID2"
"16213","ENSG00000186318.18","BACE1"
"16214","ENSG00000186326.4","RGS9BP"
"16215","ENSG00000186328.4","RP11-140K17.2"
"16216","ENSG00000186329.9","TMEM212"
"16217","ENSG00000186334.10","SLC36A3"
"16218","ENSG00000186335.9","SLC36A2"
"16219","ENSG00000186340.17","THBS2"
"16220","ENSG00000186350.12","RXRA"
"16221","ENSG00000186352.9","ANKRD37"
"16222","ENSG00000186364.12","NUDT17"
"16223","ENSG00000186367.7","MINAR2"
"16224","ENSG00000186369.10","LINC00643"
"16225","ENSG00000186376.15","ZNF75D"
"16226","ENSG00000186377.8","CYP4X1"
"16227","ENSG00000186393.5","KRT26"
"16228","ENSG00000186395.9","KRT10"
"16229","ENSG00000186399.10","GOLGA8R"
"16230","ENSG00000186407.7","CD300E"
"16231","ENSG00000186409.18","CCDC30"
"16232","ENSG00000186416.17","NKRF"
"16233","ENSG00000186417.14","GLDN"
"16234","ENSG00000186431.19","FCAR"
"16235","ENSG00000186432.10","KPNA4"
"16236","ENSG00000186439.14","TRDN"
"16237","ENSG00000186440.3","OR6P1"
"16238","ENSG00000186442.7","KRT3"
"16239","ENSG00000186446.12","ZNF501"
"16240","ENSG00000186448.15","ZNF197"
"16241","ENSG00000186451.2","SPATA12"
"16242","ENSG00000186452.11","TMPRSS12"
"16243","ENSG00000186453.13","FAM228A"
"16244","ENSG00000186458.5","DEFB132"
"16245","ENSG00000186462.9","NAP1L2"
"16246","ENSG00000186466.5","AQP7P1"
"16247","ENSG00000186468.13","RPS23"
"16248","ENSG00000186469.8","GNG2"
"16249","ENSG00000186470.14","BTN3A2"
"16250","ENSG00000186471.13","AKAP14"
"16251","ENSG00000186472.20","PCLO"
"16252","ENSG00000186474.16","KLK12"
"16253","ENSG00000186479.5","RGS7BP"
"16254","ENSG00000186480.13","INSIG1"
"16255","ENSG00000186481.16","ANKRD20A5P"
"16256","ENSG00000186487.20","MYT1L"
"16257","ENSG00000186493.14","C5orf38"
"16258","ENSG00000186496.12","ZNF396"
"16259","ENSG00000186501.15","TMEM222"
"16260","ENSG00000186508.4","OR9I2P"
"16261","ENSG00000186509.4","OR9Q1"
"16262","ENSG00000186510.12","CLCNKA"
"16263","ENSG00000186513.4","OR9Q2"
